Experiment,Run folder,Saliency method,Input size,Baseline,Ensemble method,Evaluation type,AUROC_subset_mean,F1_subset_mean,Youden_subset_mean,Accuracy_subset_mean,AUROC_No Finding,AUROC_Enlarged Cardiomediastinum,AUROC_Cardiomegaly,AUROC_Lung Opacity,AUROC_Lung Lesion,AUROC_Edema,AUROC_Consolidation,AUROC_Pneumonia,AUROC_Atelectasis,AUROC_Pneumothorax,AUROC_Pleural Effusion,AUROC_Pleural Other,AUROC_Fracture,AUROC_Support Devices,F1_No Finding,F1_Enlarged Cardiomediastinum,F1_Cardiomegaly,F1_Lung Opacity,F1_Lung Lesion,F1_Edema,F1_Consolidation,F1_Pneumonia,F1_Atelectasis,F1_Pneumothorax,F1_Pleural Effusion,F1_Pleural Other,F1_Fracture,F1_Support Devices,Youden_No Finding,Youden_Enlarged Cardiomediastinum,Youden_Cardiomegaly,Youden_Lung Opacity,Youden_Lung Lesion,Youden_Edema,Youden_Consolidation,Youden_Pneumonia,Youden_Atelectasis,Youden_Pneumothorax,Youden_Pleural Effusion,Youden_Pleural Other,Youden_Fracture,Youden_Support Devices,Accuracy_No Finding,Accuracy_Enlarged Cardiomediastinum,Accuracy_Cardiomegaly,Accuracy_Lung Opacity,Accuracy_Lung Lesion,Accuracy_Edema,Accuracy_Consolidation,Accuracy_Pneumonia,Accuracy_Atelectasis,Accuracy_Pneumothorax,Accuracy_Pleural Effusion,Accuracy_Pleural Other,Accuracy_Fracture,Accuracy_Support Devices
ensemble_BASELINE,001_average_voting_val_5m_20251102_152702,BASELINE,N/A,,Average Voting,validation,0.8618803185200811,0.7302511883318765,0.6375087669349725,0.8390000000000001,0.9131299734748011,0.5507769423558898,0.7639077340569878,0.5,0.8542713567839196,0.9166666666666666,0.9045758928571428,0.6572265625,0.8228266666666666,0.8273195876288661,0.9014246323529411,0.9924623115577889,,0.8736873687368736,0.5866666666666667,0.6971830985915493,0.6482758620689656,0.7341772151898733,0.03333333333333333,0.717391304347826,0.75,0.23529411764705882,0.7225806451612902,0.6,0.8130081300813008,0.4,0.0,0.823529411764706,0.6909814323607426,0.10075187969924815,0.4733152419719584,0.0,0.708542713567839,0.6781193490054249,0.7663690476190477,0.21354166666666652,0.5546666666666669,0.4948453608247423,0.7150735294117647,0.9849246231155779,-1.0,0.6405640564056405,0.845,0.57,0.745,0.58,0.71,0.87,0.91,0.935,0.785,0.98,0.885,0.985,0.0,0.82
ensemble_BASELINE,001_average_voting_test_5m_20251102_153437,BASELINE,N/A,,Average Voting,test,0.8305290520637658,0.5642395358088319,0.556812267366739,0.7899999999999999,0.8826226248342908,0.525331647757277,0.8243704814133095,0.5,0.5720274390243902,0.8438753189938024,0.8009737169631745,0.597508830637665,0.777928462451263,0.8523421588594705,0.9054972804972805,0.9768145161290323,0.5,0.9121018291412174,0.5555555555555555,0.6647646219686163,0.6775067750677507,0.6910994764397906,0.025806451612903222,0.5560975609756098,0.33070866141732286,0.0975609756097561,0.5783132530120482,0.30769230769230765,0.6785714285714285,0.25806451612903225,0.019801980198019802,0.8449612403100775,0.6512004713507142,0.05050327247123576,0.5613389248372833,0.0,-0.04471544715447151,0.5648924535180457,0.5606559777436124,0.12455846811675042,0.38825789681866985,0.21814890246662144,0.7089160839160837,0.9536290322580645,0.0,0.6804373266644224,0.84,0.53,0.762,0.528,0.698,0.818,0.83,0.926,0.72,0.982,0.82,0.954,0.01,0.84
ensemble_BASELINE,001_average_val_5m_20251102_152856,BASELINE,N/A,,Average Weighted,validation,0.8699062582719843,0.7074674029449755,0.6142831573822871,0.825,0.9091511936339522,0.6093233082706766,0.7810945273631841,0.3442118226600985,0.4773869346733668,0.9059674502712477,0.9153645833333333,0.7109375,0.8318933333333333,0.8737113402061856,0.9152113970588235,0.9296482412060302,,0.8947894789478948,0.576271186440678,0.6936026936026936,0.6344827586206897,0.7341772151898733,0.018691588785046728,0.7169811320754718,0.7042253521126761,0.16216216216216214,0.7019867549668874,0.6666666666666666,0.7796610169491525,0.03389830508474576,0.0,0.8333333333333333,0.5618921308576481,0.0441102756892231,0.45070104025327895,0.0,0.4723618090452262,0.7402049427365882,0.6979166666666665,0.4375,0.5226666666666666,0.5,0.6599264705882353,0.7135678391959799,-1.0,0.6605660566056606,0.875,0.545,0.735,0.58,0.475,0.85,0.895,0.69,0.775,0.985,0.87,0.715,0.0,0.83
ensemble_BASELINE,001_average_test_5m_20251102_153329,BASELINE,N/A,,Average Weighted,test,0.8681551975071647,0.5688639232144256,0.5782053929343938,0.7908,0.9079393135955223,0.649741562785041,0.8755763866487031,0.3372977657935285,0.5746951219512195,0.8773544780653786,0.8489640530053445,0.6291132180702732,0.802546570981899,0.8676171079429734,0.9363344988344988,0.9924395161290323,0.7866666666666666,0.9313070103720804,0.5957446808510638,0.6648648648648648,0.7021276595744681,0.6910994764397906,0.04166666666666666,0.5551020408163265,0.328125,0.05240174672489083,0.564935064935065,0.2105263157894737,0.6940298507462687,0.04166666666666667,0.019801980198019802,0.8560157790927021,0.5929444689939607,-0.0033764862140147622,0.6076965407313231,0.0,0.19308943089430897,0.6371977153967676,0.5585328354930814,0.1119167131437071,0.37266203311295687,0.2059289431998188,0.7149378399378401,0.629032258064516,0.0,0.7100787123871815,0.886,0.504,0.776,0.528,0.448,0.782,0.828,0.566,0.732,0.97,0.836,0.632,0.01,0.854
ensemble_LRP_320_24.09.2025,001_distinctiveness_voting_val_5m_20250924_135316,LRP,320,,Distinctiveness Voting,validation,0.8616689554930602,0.7318928188386155,0.6446982539916676,0.8320000000000001,0.9131299734748011,0.5507769423558898,0.7645861601085482,0.5,0.8542713567839196,0.9144816154309825,0.9052269345238095,0.6572265625,0.8239466666666667,0.8273195876288661,0.9001034007352942,0.9924623115577889,,0.8736873687368736,0.5866666666666667,0.6971830985915493,0.6459627329192547,0.7341772151898733,0.03333333333333333,0.717391304347826,0.75,0.23529411764705882,0.7225806451612902,0.6,0.823529411764706,0.4,0.0,0.823529411764706,0.6909814323607426,0.10075187969924815,0.466983265490728,0.0,0.708542713567839,0.6781193490054249,0.7663690476190477,0.21354166666666652,0.5546666666666669,0.4948453608247423,0.7573529411764706,0.9849246231155779,-1.0,0.6405640564056405,0.845,0.57,0.715,0.58,0.71,0.87,0.91,0.935,0.785,0.98,0.88,0.985,0.0,0.82
ensemble_LRP_320_24.09.2025,001_distinctiveness_voting_val_5m_20250924_135316,LRP,320,,Distinctiveness Voting,validation,0.8616689554930602,0.7318928188386155,0.6446982539916676,0.8320000000000001,0.9131299734748011,0.5507769423558898,0.7645861601085482,0.5,0.8542713567839196,0.9144816154309825,0.9052269345238095,0.6572265625,0.8239466666666667,0.8273195876288661,0.9001034007352942,0.9924623115577889,,0.8736873687368736,0.5866666666666667,0.6971830985915493,0.6459627329192547,0.7341772151898733,0.03333333333333333,0.717391304347826,0.75,0.23529411764705882,0.7225806451612902,0.6,0.823529411764706,0.4,0.0,0.823529411764706,0.6909814323607426,0.10075187969924815,0.466983265490728,0.0,0.708542713567839,0.6781193490054249,0.7663690476190477,0.21354166666666652,0.5546666666666669,0.4948453608247423,0.7573529411764706,0.9849246231155779,-1.0,0.6405640564056405,0.845,0.57,0.715,0.58,0.71,0.87,0.91,0.935,0.785,0.98,0.88,0.985,0.0,0.82
ensemble_LRP_320_24.09.2025,001_distinctiveness_voting_test_5m_20250924_140912,LRP,320,,Distinctiveness Voting,test,0.8286131772731558,0.5413920804591872,0.5312693446378812,0.7632,0.8826226248342908,0.525331647757277,0.81609707964098,0.5,0.5720274390243902,0.843677846639932,0.7983380921004466,0.597508830637665,0.778399352055904,0.8523421588594705,0.9065535159285161,0.9768145161290323,0.5,0.9121018291412174,0.5555555555555555,0.6647646219686163,0.6277372262773723,0.6910994764397906,0.025806451612903222,0.5560975609756098,0.27814569536423844,0.0975609756097561,0.5783132530120482,0.30769230769230765,0.6666666666666667,0.25806451612903225,0.019801980198019802,0.8449612403100775,0.6512004713507142,0.05050327247123576,0.47894646957247766,0.0,-0.04471544715447151,0.5648924535180457,0.5097005637308736,0.12455846811675042,0.38825789681866985,0.21814890246662144,0.7145493395493396,0.9536290322580645,0.0,0.6804373266644224,0.84,0.53,0.694,0.528,0.698,0.818,0.782,0.926,0.72,0.982,0.802,0.954,0.01,0.84
ensemble_LRP_320_24.09.2025,001_distinctiveness_voting_test_5m_20250924_140912,LRP,320,,Distinctiveness Voting,test,0.8286131772731558,0.5413920804591872,0.5312693446378812,0.7632,0.8826226248342908,0.525331647757277,0.81609707964098,0.5,0.5720274390243902,0.843677846639932,0.7983380921004466,0.597508830637665,0.778399352055904,0.8523421588594705,0.9065535159285161,0.9768145161290323,0.5,0.9121018291412174,0.5555555555555555,0.6647646219686163,0.6277372262773723,0.6910994764397906,0.025806451612903222,0.5560975609756098,0.27814569536423844,0.0975609756097561,0.5783132530120482,0.30769230769230765,0.6666666666666667,0.25806451612903225,0.019801980198019802,0.8449612403100775,0.6512004713507142,0.05050327247123576,0.47894646957247766,0.0,-0.04471544715447151,0.5648924535180457,0.5097005637308736,0.12455846811675042,0.38825789681866985,0.21814890246662144,0.7145493395493396,0.9536290322580645,0.0,0.6804373266644224,0.84,0.53,0.694,0.528,0.698,0.818,0.782,0.926,0.72,0.982,0.802,0.954,0.01,0.84
ensemble_LRP_320_24.09.2025,001_distinctiveness_weighted_val_5m_20250924_135233,LRP,320,,Distinctiveness Weighted,validation,0.8679304828090391,0.6956801895289602,0.5899140537677724,0.812,0.9091511936339522,0.6093233082706766,0.7772501130710086,0.3442118226600985,0.4773869346733668,0.9008438818565401,0.9114583333333334,0.7109375,0.8317866666666667,0.8737113402061856,0.9183134191176471,0.9296482412060302,,0.8947894789478948,0.576271186440678,0.6936026936026936,0.6099290780141844,0.7341772151898733,0.018691588785046728,0.6990291262135924,0.7042253521126761,0.16216216216216214,0.7000000000000001,0.6666666666666666,0.7652173913043478,0.03389830508474576,0.0,0.8333333333333333,0.5618921308576481,0.0441102756892231,0.41270918136589785,0.0,0.4723618090452262,0.6989150090415914,0.6979166666666665,0.4375,0.504,0.5,0.6360294117647058,0.7135678391959799,-1.0,0.6605660566056606,0.875,0.545,0.725,0.58,0.475,0.845,0.895,0.69,0.73,0.985,0.865,0.715,0.0,0.83
ensemble_LRP_320_24.09.2025,001_distinctiveness_weighted_val_5m_20250924_135233,LRP,320,,Distinctiveness Weighted,validation,0.8679304828090391,0.6956801895289602,0.5899140537677724,0.812,0.9091511936339522,0.6093233082706766,0.7772501130710086,0.3442118226600985,0.4773869346733668,0.9008438818565401,0.9114583333333334,0.7109375,0.8317866666666667,0.8737113402061856,0.9183134191176471,0.9296482412060302,,0.8947894789478948,0.576271186440678,0.6936026936026936,0.6099290780141844,0.7341772151898733,0.018691588785046728,0.6990291262135924,0.7042253521126761,0.16216216216216214,0.7000000000000001,0.6666666666666666,0.7652173913043478,0.03389830508474576,0.0,0.8333333333333333,0.5618921308576481,0.0441102756892231,0.41270918136589785,0.0,0.4723618090452262,0.6989150090415914,0.6979166666666665,0.4375,0.504,0.5,0.6360294117647058,0.7135678391959799,-1.0,0.6605660566056606,0.875,0.545,0.725,0.58,0.475,0.845,0.895,0.69,0.73,0.985,0.865,0.715,0.0,0.83
