Experiment,Run folder,Saliency method,Input size,Baseline,Ensemble method,Evaluation type,AUROC_subset_mean,F1_subset_mean,Youden-index_subset_mean,Accuracy_subset_mean
ensemble_LRP_1280_24.09.2025,001_distinctiveness_voting_val_5m_20250924_151715,LRP,1280,,Distinctiveness Voting,validation,0.8616689554930602,0.7318928188386155,0.6446982539916676,0.8320000000000001
ensemble_LRP_1280_24.09.2025,001_distinctiveness_voting_test_5m_20250924_154815,LRP,1280,,Distinctiveness Voting,test,0.8286131772731558,0.5413920804591872,0.5312693446378812,0.7632
ensemble_LRP_1280_24.09.2025,001_distinctiveness_weighted_val_5m_20250924_151630,LRP,1280,,Distinctiveness Weighted,validation,0.8679304828090391,0.6956801895289602,0.5899140537677724,0.812
ensemble_LRP_1280_24.09.2025,001_distinctiveness_weighted_test_5m_20250924_154454,LRP,1280,,Distinctiveness Weighted,test,0.8657701705288183,0.5771048970363931,0.5910841190188799,0.7811999999999999
ensemble_LRP_320_24.09.2025,001_distinctiveness_voting_val_5m_20250924_135316,LRP,320,,Distinctiveness Voting,validation,0.8616689554930602,0.7318928188386155,0.6446982539916676,0.8320000000000001
ensemble_LRP_320_24.09.2025,001_distinctiveness_voting_test_5m_20250924_140912,LRP,320,,Distinctiveness Voting,test,0.8286131772731558,0.5413920804591872,0.5312693446378812,0.7632
ensemble_LRP_320_24.09.2025,001_distinctiveness_weighted_val_5m_20250924_135233,LRP,320,,Distinctiveness Weighted,validation,0.8679304828090391,0.6956801895289602,0.5899140537677724,0.812
ensemble_LRP_320_24.09.2025,001_distinctiveness_weighted_test_5m_20250924_140747,LRP,320,,Distinctiveness Weighted,test,0.8657701705288183,0.5771048970363931,0.5910841190188799,0.7811999999999999
ensemble_LRP_640_24.09.2025,001_distinctiveness_voting_val_5m_20250924_142349,LRP,640,,Distinctiveness Voting,validation,0.8616689554930602,0.7318928188386155,0.6446982539916676,0.8320000000000001
ensemble_LRP_640_24.09.2025,001_distinctiveness_voting_test_5m_20250924_144555,LRP,640,,Distinctiveness Voting,test,0.8286131772731558,0.5413920804591872,0.5312693446378812,0.7632
ensemble_LRP_640_24.09.2025,001_distinctiveness_weighted_val_5m_20250924_142254,LRP,640,,Distinctiveness Weighted,validation,0.8679304828090391,0.6956801895289602,0.5899140537677724,0.812
ensemble_LRP_640_24.09.2025,001_distinctiveness_weighted_test_5m_20250924_144411,LRP,640,,Distinctiveness Weighted,test,0.8657701705288183,0.5771048970363931,0.5910841190188799,0.7811999999999999
ensemble_LRP_original_24.09.2025,001_distinctiveness_voting_val_5m_20250924_113640,LRP,original,,Distinctiveness Voting,validation,0.8616689554930602,0.7323554446685576,0.6459646492879136,0.8380000000000001
ensemble_LRP_original_24.09.2025,001_distinctiveness_voting_test_5m_20250924_114116,LRP,original,,Distinctiveness Voting,test,0.8285863813482959,0.5513459902172627,0.5477478356908424,0.7768
ensemble_LRP_original_24.09.2025,001_distinctiveness_weighted_val_5m_20250924_113603,LRP,original,,Distinctiveness Weighted,validation,0.8679188719090336,0.6962598996738876,0.5974508184736547,0.807
ensemble_LRP_original_24.09.2025,001_distinctiveness_weighted_test_5m_20250924_114249,LRP,original,,Distinctiveness Weighted,test,0.8658743913540693,0.5699290135837058,0.5921899746252806,0.772
ensemble_GradCAM_1280_25.09.2025,001_distinctiveness_voting_val_5m_20250925_095407,GradCAM,1280,,Distinctiveness Voting,validation,0.8609467465428338,0.7313652466873142,0.6391822178621547,0.8360000000000001
ensemble_GradCAM_1280_25.09.2025,001_distinctiveness_voting_test_5m_20250925_101319,GradCAM,1280,,Distinctiveness Voting,test,0.8300439113965629,0.5509237594250171,0.5423476182254136,0.7708
ensemble_GradCAM_1280_25.09.2025,001_distinctiveness_weighted_val_5m_20250925_095327,GradCAM,1280,,Distinctiveness Weighted,validation,0.8688890206699181,0.7013553193452855,0.6005460826337989,0.805
ensemble_GradCAM_1280_25.09.2025,001_distinctiveness_weighted_test_5m_20250925_101136,GradCAM,1280,,Distinctiveness Weighted,test,0.8678604617342573,0.5744182134283441,0.5843731944776365,0.7748
ensemble_GradCAM_320_24.09.2025,001_distinctiveness_voting_val_5m_20250924_162607,GradCAM,320,,Distinctiveness Voting,validation,0.8609467465428338,0.7313652466873142,0.6391822178621547,0.8360000000000001
ensemble_GradCAM_320_24.09.2025,001_distinctiveness_voting_test_5m_20250924_163601,GradCAM,320,,Distinctiveness Voting,test,0.8300439113965629,0.5509237594250171,0.5423476182254136,0.7708
ensemble_GradCAM_320_24.09.2025,001_distinctiveness_weighted_val_5m_20250924_162507,GradCAM,320,,Distinctiveness Weighted,validation,0.8688664064681995,0.7013553193452855,0.6005460826337989,0.805
ensemble_GradCAM_320_24.09.2025,001_distinctiveness_weighted_test_5m_20250924_163444,GradCAM,320,,Distinctiveness Weighted,test,0.8679005539445805,0.5744182134283441,0.5843731944776365,0.7748
ensemble_GradCAM_640_25.09.2025,001_distinctiveness_voting_val_5m_20250925_091710,GradCAM,640,,Distinctiveness Voting,validation,0.8609467465428338,0.7313652466873142,0.6391822178621547,0.8360000000000001
ensemble_GradCAM_640_25.09.2025,001_distinctiveness_voting_test_5m_20250925_092816,GradCAM,640,,Distinctiveness Voting,test,0.8300439113965629,0.5509237594250171,0.5423476182254136,0.7708
ensemble_GradCAM_640_25.09.2025,001_distinctiveness_weighted_val_5m_20250925_091554,GradCAM,640,,Distinctiveness Weighted,validation,0.8688664064681995,0.7013553193452855,0.6005460826337989,0.805
ensemble_GradCAM_640_25.09.2025,001_distinctiveness_weighted_test_5m_20250925_092557,GradCAM,640,,Distinctiveness Weighted,test,0.8678939957219726,0.5744182134283441,0.5843731944776365,0.7748
ensemble_GradCAM_original_24.09.2025,001_distinctiveness_voting_val_5m_20250924_160948,GradCAM,original,,Distinctiveness Voting,validation,0.8606510432865944,0.7313652466873142,0.6391822178621547,0.8360000000000001
ensemble_GradCAM_original_24.09.2025,001_distinctiveness_voting_test_5m_20250924_161738,GradCAM,original,,Distinctiveness Voting,test,0.8300683398624036,0.5531909543083162,0.544872870750666,0.7728
ensemble_GradCAM_original_24.09.2025,001_distinctiveness_weighted_val_5m_20250924_160904,GradCAM,original,,Distinctiveness Weighted,validation,0.8689318294402615,0.7018535149828802,0.6005460826337989,0.8030000000000002
ensemble_GradCAM_original_24.09.2025,001_distinctiveness_weighted_test_5m_20250924_161447,GradCAM,original,,Distinctiveness Weighted,test,0.8680894261682269,0.5751337972817595,0.5860274229124711,0.7724
ensemble_DeepLift_1280_w_baseline_29.09.2025,001_distinctiveness_voting_val_5m_20250929_101514,DeepLift,1280,with baseline,Distinctiveness Voting,validation,0.8628851470300927,0.7329278564505477,0.647386869736473,0.8350000000000002
ensemble_DeepLift_1280_no_baseline_29.09.2025,001_distinctiveness_voting_val_5m_20250929_112547,DeepLift,1280,no baseline,Distinctiveness Voting,validation,0.86155458285912,0.7328916543518293,0.6404028122435275,0.8380000000000001
ensemble_DeepLift_1280_w_baseline_29.09.2025,001_distinctiveness_voting_test_5m_20250929_102620,DeepLift,1280,with baseline,Distinctiveness Voting,test,0.8304722629785795,0.5393320246455675,0.5286862416219589,0.7667999999999999
ensemble_DeepLift_1280_no_baseline_29.09.2025,001_distinctiveness_voting_test_5m_20250929_115314,DeepLift,1280,no baseline,Distinctiveness Voting,test,0.8303668277933888,0.5595519737615564,0.5481341521160557,0.7836
ensemble_DeepLift_1280_w_baseline_29.09.2025,001_distinctiveness_weighted_val_5m_20250929_101333,DeepLift,1280,with baseline,Distinctiveness Weighted,validation,0.8685275009814604,0.7008617308684066,0.6021648976496289,0.8140000000000001
ensemble_DeepLift_1280_no_baseline_29.09.2025,001_distinctiveness_weighted_val_5m_20250929_112517,DeepLift,1280,no baseline,Distinctiveness Weighted,validation,0.8694390572458396,0.7081018175068685,0.6113225987054216,0.8190000000000002
ensemble_DeepLift_1280_w_baseline_29.09.2025,001_distinctiveness_weighted_test_5m_20250929_102523,DeepLift,1280,with baseline,Distinctiveness Weighted,test,0.8682957392112286,0.5826036112554644,0.5981727414954061,0.7867999999999999
ensemble_DeepLift_1280_no_baseline_29.09.2025,001_distinctiveness_weighted_test_5m_20250929_115214,DeepLift,1280,no baseline,Distinctiveness Weighted,test,0.8689203942077904,0.5853975130922157,0.595540286767519,0.7936
ensemble_DeepLift_320_no_baseline_29.09.2025,001_distinctiveness_voting_val_5m_20250929_112206,DeepLift,320,no baseline,Distinctiveness Voting,validation,0.86155458285912,0.7328916543518293,0.6404028122435275,0.8380000000000001
ensemble_DeepLift_320_w_baseline_27.09.2025,001_distinctiveness_voting_val_5m_20250927_163649,DeepLift,320,with baseline,Distinctiveness Voting,validation,0.8628851470300927,0.7329278564505477,0.647386869736473,0.8350000000000002
ensemble_DeepLift_320_no_baseline_29.09.2025,001_distinctiveness_voting_test_5m_20250929_114941,DeepLift,320,no baseline,Distinctiveness Voting,test,0.8303668277933888,0.5595519737615564,0.5481341521160557,0.7836
ensemble_DeepLift_320_w_baseline_27.09.2025,001_distinctiveness_voting_test_5m_20250927_164110,DeepLift,320,with baseline,Distinctiveness Voting,test,0.8304722629785795,0.5393320246455675,0.5286862416219589,0.7667999999999999
ensemble_DeepLift_320_no_baseline_29.09.2025,001_distinctiveness_weighted_val_5m_20250929_112138,DeepLift,320,no baseline,Distinctiveness Weighted,validation,0.8694390572458396,0.7081018175068685,0.6113225987054216,0.8190000000000002
ensemble_DeepLift_320_w_baseline_27.09.2025,001_distinctiveness_weighted_val_5m_20250927_163625,DeepLift,320,with baseline,Distinctiveness Weighted,validation,0.8685275009814604,0.7008617308684066,0.6021648976496289,0.8140000000000001
ensemble_DeepLift_320_no_baseline_29.09.2025,001_distinctiveness_weighted_test_5m_20250929_114902,DeepLift,320,no baseline,Distinctiveness Weighted,test,0.8689180852522007,0.5853975130922157,0.595540286767519,0.7936
ensemble_DeepLift_320_w_baseline_27.09.2025,001_distinctiveness_weighted_test_5m_20250927_164027,DeepLift,320,with baseline,Distinctiveness Weighted,test,0.8682995343496562,0.5826036112554644,0.5981727414954061,0.7867999999999999
ensemble_DeepLift_640_no_baseline_29.09.2025,001_distinctiveness_voting_val_5m_20250929_112441,DeepLift,640,no baseline,Distinctiveness Voting,validation,0.86155458285912,0.7328916543518293,0.6404028122435275,0.8380000000000001
ensemble_DeepLift_640_w_baseline_29.09.2025,001_distinctiveness_voting_val_5m_20250929_101247,DeepLift,640,with baseline,Distinctiveness Voting,validation,0.8628851470300927,0.7329278564505477,0.647386869736473,0.8350000000000002
ensemble_DeepLift_640_no_baseline_29.09.2025,001_distinctiveness_voting_test_5m_20250929_115131,DeepLift,640,no baseline,Distinctiveness Voting,test,0.8303668277933888,0.5595519737615564,0.5481341521160557,0.7836
ensemble_DeepLift_640_w_baseline_29.09.2025,001_distinctiveness_voting_test_5m_20250929_102214,DeepLift,640,with baseline,Distinctiveness Voting,test,0.8304722629785795,0.5393320246455675,0.5286862416219589,0.7667999999999999
ensemble_DeepLift_640_no_baseline_29.09.2025,001_distinctiveness_weighted_val_5m_20250929_112233,DeepLift,640,no baseline,Distinctiveness Weighted,validation,0.8694390572458396,0.7081018175068685,0.6113225987054216,0.8190000000000002
ensemble_DeepLift_640_w_baseline_29.09.2025,001_distinctiveness_weighted_val_5m_20250929_101214,DeepLift,640,with baseline,Distinctiveness Weighted,validation,0.8685275009814604,0.7008617308684066,0.6021648976496289,0.8140000000000001
ensemble_DeepLift_640_no_baseline_29.09.2025,001_distinctiveness_weighted_test_5m_20250929_115038,DeepLift,640,no baseline,Distinctiveness Weighted,test,0.8689180852522007,0.5853975130922157,0.595540286767519,0.7936
ensemble_DeepLift_640_w_baseline_29.09.2025,001_distinctiveness_weighted_test_5m_20250929_101746,DeepLift,640,with baseline,Distinctiveness Weighted,test,0.8682995343496562,0.5826036112554644,0.5981727414954061,0.7867999999999999
ensemble_DeepLift_original_w_baseline_27.09.2025,001_distinctiveness_voting_val_5m_20250927_151906,DeepLift,original,with baseline,Distinctiveness Voting,validation,0.8628851470300927,0.7345045406359275,0.6486526925212831,0.836
ensemble_DeepLift_original_no_baseline_29.09.2025,001_distinctiveness_voting_val_5m_20250929_112103,DeepLift,original,no baseline,Distinctiveness Voting,validation,0.8612376202956009,0.7337936779706056,0.6473881063611746,0.836
ensemble_DeepLift_original_w_baseline_27.09.2025,001_distinctiveness_voting_test_5m_20250927_160847,DeepLift,original,with baseline,Distinctiveness Voting,test,0.8304722629785795,0.5454737569290321,0.5342064114733389,0.772
ensemble_DeepLift_original_no_baseline_29.09.2025,001_distinctiveness_voting_test_5m_20250929_114814,DeepLift,original,no baseline,Distinctiveness Voting,test,0.8304504962793902,0.5570492618436578,0.5518297047030872,0.776
ensemble_DeepLift_original_w_baseline_27.09.2025,001_distinctiveness_weighted_val_5m_20250927_151831,DeepLift,original,with baseline,Distinctiveness Weighted,validation,0.8686255593604575,0.7008617308684066,0.6021648976496289,0.8140000000000001
ensemble_DeepLift_original_no_baseline_29.09.2025,001_distinctiveness_weighted_val_5m_20250929_114345,DeepLift,original,no baseline,Distinctiveness Weighted,validation,0.8697388289996804,0.7076934267445758,0.6085484693521879,0.8140000000000001
ensemble_DeepLift_original_w_baseline_27.09.2025,001_distinctiveness_weighted_test_5m_20250927_160721,DeepLift,original,with baseline,Distinctiveness Weighted,test,0.8682368611532715,0.581214864340226,0.5958068477788017,0.786
ensemble_DeepLift_original_no_baseline_29.09.2025,001_distinctiveness_weighted_test_5m_20250929_114657,DeepLift,original,no baseline,Distinctiveness Weighted,test,0.868973243871273,0.5859090359751986,0.6005336950466666,0.7847999999999999
ensemble_IG_1280_no_baseline_28.09.2025,001_distinctiveness_voting_val_5m_20250929_094547,IG,1280,no baseline,Distinctiveness Voting,validation,0.8619920207033216,0.7324262465009962,0.6404290014844886,0.8400000000000001
ensemble_IG_1280_w_baseline_25.09.2025,001_distinctiveness_voting_val_5m_20250927_145716,IG,1280,with baseline,Distinctiveness Voting,validation,0.8601413473337066,0.7302511883318765,0.6375087669349725,0.8390000000000001
ensemble_IG_1280_no_baseline_28.09.2025,001_distinctiveness_voting_test_5m_20250929_100338,IG,1280,no baseline,Distinctiveness Voting,test,0.8320194720838907,0.5640310488565321,0.5597881939760787,0.7876000000000001
ensemble_IG_1280_w_baseline_25.09.2025,001_distinctiveness_voting_test_5m_20250927_150557,IG,1280,with baseline,Distinctiveness Voting,test,0.8317111483236068,0.5603941677283136,0.5523514942433727,0.7856
ensemble_IG_1280_no_baseline_28.09.2025,001_distinctiveness_weighted_val_5m_20250929_094501,IG,1280,no baseline,Distinctiveness Weighted,validation,0.8694438980813638,0.7088330812917858,0.6155489801670972,0.826
ensemble_IG_1280_w_baseline_25.09.2025,001_distinctiveness_weighted_val_5m_20250927_145541,IG,1280,with baseline,Distinctiveness Weighted,validation,0.8698346548490203,0.7091233228832126,0.614886235069058,0.825
ensemble_IG_1280_no_baseline_28.09.2025,001_distinctiveness_weighted_test_5m_20250929_100545,IG,1280,no baseline,Distinctiveness Weighted,test,0.8680394688403197,0.5688957518289973,0.577684182870752,0.7912
ensemble_IG_1280_w_baseline_25.09.2025,001_distinctiveness_weighted_test_5m_20250927_150455,IG,1280,with baseline,Distinctiveness Weighted,test,0.868081733562976,0.5748118139918563,0.5830040664106259,0.7912
ensemble_IG_original_w_baseline_24.09.2025,001_distinctiveness_voting_val_5m_20250927_144917,IG,original,with baseline,Distinctiveness Voting,validation,0.8610541155438641,0.7330094866020962,0.6422706716968772,0.8400000000000001
ensemble_IG_original_no_baseline_27.09.2025,001_distinctiveness_voting_val_5m_20250929_093547,IG,original,no baseline,Distinctiveness Voting,validation,0.8619920207033216,0.7324262465009962,0.6404290014844886,0.8400000000000001
ensemble_IG_original_w_baseline_24.09.2025,001_distinctiveness_voting_test_5m_20250927_145310,IG,original,with baseline,Distinctiveness Voting,test,0.8316929201063266,0.5573792108873692,0.5512659400942247,0.7827999999999999
ensemble_IG_original_no_baseline_27.09.2025,001_distinctiveness_voting_test_5m_20250929_093933,IG,original,no baseline,Distinctiveness Voting,test,0.8318996393020035,0.5618177252307585,0.5578924593789222,0.786
ensemble_IG_original_w_baseline_24.09.2025,001_distinctiveness_weighted_val_5m_20250927_144519,IG,original,with baseline,Distinctiveness Weighted,validation,0.869738103230854,0.7111353953178202,0.6160767112595342,0.826
ensemble_IG_original_no_baseline_27.09.2025,001_distinctiveness_weighted_val_5m_20250929_093426,IG,original,no baseline,Distinctiveness Weighted,validation,0.869419639271802,0.7088330812917858,0.6155489801670972,0.826
ensemble_IG_original_w_baseline_24.09.2025,001_distinctiveness_weighted_test_5m_20250927_145023,IG,original,with baseline,Distinctiveness Weighted,test,0.8682225343599799,0.5753367483750582,0.5834286948607319,0.7916
ensemble_IG_original_no_baseline_27.09.2025,001_distinctiveness_weighted_test_5m_20250929_093735,IG,original,no baseline,Distinctiveness Weighted,test,0.8680737208616446,0.569013501114007,0.5775850506174623,0.7911999999999999
