Experiment,Run folder,Saliency method,Input size,Baseline,Ensemble method,Evaluation type,AUROC_subset_mean,F1_subset_mean,Youden-index_subset_mean,Accuracy_subset_mean
ensemble_BASELINE,001_average_voting_val_5m_20250922_104705,BASELINE,N/A,,Average Voting,validation,0.8618803185200811,0.7302511883318765,0.6375087669349725,0.8390000000000001
ensemble_BASELINE,001_average_voting_test_5m_20250922_105116,BASELINE,N/A,,Average Voting,test,0.8305290520637658,0.5642395358088319,0.556812267366739,0.7899999999999999
ensemble_LRP_320_24.09.2025,001_distinctiveness_voting_val_5m_20250924_135316,LRP,320,,Distinctiveness Voting,validation,0.8616689554930602,0.7318928188386155,0.6446982539916676,0.8320000000000001
ensemble_LRP_320_24.09.2025,001_distinctiveness_voting_test_5m_20250924_140912,LRP,320,,Distinctiveness Voting,test,0.8286131772731558,0.5413920804591872,0.5312693446378812,0.7632
ensemble_GradCAM_original_24.09.2025,001_distinctiveness_voting_val_5m_20250924_160948,GradCAM,original,,Distinctiveness Voting,validation,0.8606510432865944,0.7313652466873142,0.6391822178621547,0.8360000000000001
ensemble_GradCAM_original_24.09.2025,001_distinctiveness_voting_test_5m_20250924_161738,GradCAM,original,,Distinctiveness Voting,test,0.8300683398624036,0.5531909543083162,0.544872870750666,0.7728
ensemble_DeepLift_original_no_baseline_29.09.2025,001_distinctiveness_voting_val_5m_20250929_112103,DeepLift,original,no baseline,Distinctiveness Voting,validation,0.8612376202956009,0.7337936779706056,0.6473881063611746,0.836
ensemble_DeepLift_original_no_baseline_29.09.2025,001_distinctiveness_voting_test_5m_20250929_114814,DeepLift,original,no baseline,Distinctiveness Voting,test,0.8304504962793902,0.5570492618436578,0.5518297047030872,0.776
ensemble_IG_original_w_baseline_24.09.2025,001_distinctiveness_voting_val_5m_20250927_144917,IG,original,with baseline,Distinctiveness Voting,validation,0.8610541155438641,0.7330094866020962,0.6422706716968772,0.8400000000000001
ensemble_IG_original_w_baseline_24.09.2025,001_distinctiveness_voting_test_5m_20250927_145310,IG,original,with baseline,Distinctiveness Voting,test,0.8316929201063266,0.5573792108873692,0.5512659400942247,0.7827999999999999
