Metric Value
Accuracy 0.773809552192688
"ROC AUC No Finding" 0.6259398496240602
"ROC AUC Enlarged Cardiomediastinum" 0.5
"ROC AUC Cardiomegaly" 0.5
"ROC AUC Lung Opacity" 0.5
"ROC AUC Lung Lesion" 0.2918454935622318
"ROC AUC Edema" 0.6349206349206349
"ROC AUC Consolidation" 0.5
"ROC AUC Pneumonia" 0.5
"ROC AUC Atelectasis" 0.5125
"ROC AUC Pneumothorax" 0.6609513274336284
"ROC AUC Pleural Effusion" 0.6581910805255161
"ROC AUC Pleural Other" 0.5
"ROC AUC Fracture" nan
"ROC AUC Support Devices" 0.7085510339244978
