Metric Value
Accuracy 0.7710714340209961
"ROC AUC No Finding" 0.7093280282935456
"ROC AUC Enlarged Cardiomediastinum" 0.4295739348370927
"ROC AUC Cardiomegaly" 0.4461781999095432
"ROC AUC Lung Opacity" 0.500307881773399
"ROC AUC Lung Lesion" 0.8844221105527639
"ROC AUC Edema" 0.39451476793248946
"ROC AUC Consolidation" 0.49088541666666663
"ROC AUC Pneumonia" 0.5442708333333333
"ROC AUC Atelectasis" 0.4658133333333333
"ROC AUC Pneumothorax" 0.5146048109965635
"ROC AUC Pleural Effusion" 0.44979319852941174
"ROC AUC Pleural Other" 0.8442211055276382
"ROC AUC Fracture" nan
"ROC AUC Support Devices" 0.4597459745974598
