Metric Value
Accuracy 0.7942612767219543
"ROC AUC No Finding" 0.5110096670247045
"ROC AUC Enlarged Cardiomediastinum" 0.5
"ROC AUC Cardiomegaly" 0.5
"ROC AUC Lung Opacity" 0.5
"ROC AUC Lung Lesion" 0.4613733905579399
"ROC AUC Edema" 0.5587301587301587
"ROC AUC Consolidation" 0.5
"ROC AUC Pneumonia" 0.5
"ROC AUC Atelectasis" 0.5
"ROC AUC Pneumothorax" 0.555862831858407
"ROC AUC Pleural Effusion" 0.5910269014210384
"ROC AUC Pleural Other" 0.5
"ROC AUC Fracture" nan
"ROC AUC Support Devices" 0.6276400029435573
