Metric Type,Task,Value
AUROC,No Finding,0.9009725906277631
AUROC,Enlarged Cardiomediastinum,0.6271679197994988
AUROC,Cardiomegaly,0.7752148349163275
AUROC,Lung Opacity,0.29618226600985226
AUROC,Lung Lesion,0.6884422110552764
AUROC,Edema,0.8946654611211573
AUROC,Consolidation,0.886532738095238
AUROC,Pneumonia,0.5930989583333333
AUROC,Atelectasis,0.8223999999999999
AUROC,Pneumothorax,0.8187285223367697
AUROC,Pleural Effusion,0.9015395220588235
AUROC,Pleural Other,0.8592964824120604
AUROC,Fracture,nan
AUROC,Support Devices,0.8685868586858686
AUROC,Average (Eval Tasks),0.8560705112383094
Accuracy,Overall,0.7746428847312927
Accuracy (Tuned),Overall,0.7071428298950195
Average Youden Index,Eval Tasks,tensor(0.5838)
Average F1 Score,Eval Tasks,0.67833306702041
F1 Score,No Finding,0.5555555555555555
F1 Score,Enlarged Cardiomediastinum,0.6941580756013744
F1 Score,Cardiomegaly,0.6162790697674418
F1 Score,Lung Opacity,0.7341772151898733
F1 Score,Lung Lesion,0.03076923076923077
F1 Score,Edema,0.6930693069306931
F1 Score,Consolidation,0.5909090909090908
F1 Score,Pneumonia,0.11594202898550726
F1 Score,Atelectasis,0.7080745341614907
F1 Score,Pneumothorax,0.5454545454545454
F1 Score,Pleural Effusion,0.7833333333333332
F1 Score,Pleural Other,0.05128205128205127
F1 Score,Fracture,0.0
F1 Score,Support Devices,0.7942583732057416
Youden Index,No Finding,tensor(0.6198)
Youden Index,Enlarged Cardiomediastinum,tensor(0.0672)
Youden Index,Cardiomegaly,tensor(0.4075)
Youden Index,Lung Opacity,tensor(0.)
Youden Index,Lung Lesion,tensor(0.6834)
Youden Index,Edema,tensor(0.6814)
Youden Index,Consolidation,tensor(0.6339)
Youden Index,Pneumonia,tensor(0.2031)
Youden Index,Atelectasis,tensor(0.5280)
Youden Index,Pneumothorax,tensor(0.4897)
Youden Index,Pleural Effusion,tensor(0.6682)
Youden Index,Pleural Other,tensor(0.8141)
Youden Index,Fracture,tensor(-1.)
Youden Index,Support Devices,tensor(0.5711)
