Metric Type,Task,Value
AUROC,No Finding,0.9051724137931034
AUROC,Enlarged Cardiomediastinum,0.6128320802005012
AUROC,Cardiomegaly,0.7689959294436906
AUROC,Lung Opacity,0.30562397372742195
AUROC,Lung Lesion,0.5728643216080402
AUROC,Edema,0.8963230861965039
AUROC,Consolidation,0.9075520833333333
AUROC,Pneumonia,0.49869791666666663
AUROC,Atelectasis,0.7994666666666665
AUROC,Pneumothorax,0.8754295532646048
AUROC,Pleural Effusion,0.8984375
AUROC,Pleural Other,0.8743718592964824
AUROC,Fracture,nan
AUROC,Support Devices,0.8087808780878089
AUROC,Average (Eval Tasks),0.854155053128039
Accuracy,Overall,0.758571445941925
Accuracy (Tuned),Overall,0.6785714030265808
Average Youden Index,Eval Tasks,tensor(0.5634)
Average F1 Score,Eval Tasks,0.6818838900685866
F1 Score,No Finding,0.5925925925925927
F1 Score,Enlarged Cardiomediastinum,0.7010309278350515
F1 Score,Cardiomegaly,0.6122448979591836
F1 Score,Lung Opacity,0.7341772151898733
F1 Score,Lung Lesion,0.02197802197802198
F1 Score,Edema,0.6938775510204083
F1 Score,Consolidation,0.6567164179104478
F1 Score,Pneumonia,0.08695652173913043
F1 Score,Atelectasis,0.6823529411764706
F1 Score,Pneumothorax,0.5
F1 Score,Pleural Effusion,0.7642276422764227
F1 Score,Pleural Other,0.044444444444444446
F1 Score,Fracture,0.0
F1 Score,Support Devices,0.7363636363636364
Youden Index,No Finding,tensor(0.7449)
Youden Index,Enlarged Cardiomediastinum,tensor(0.0872)
Youden Index,Cardiomegaly,tensor(0.4132)
Youden Index,Lung Opacity,tensor(0.)
Youden Index,Lung Lesion,tensor(0.5528)
Youden Index,Edema,tensor(0.6703)
Youden Index,Consolidation,tensor(0.6101)
Youden Index,Pneumonia,tensor(0.0938)
Youden Index,Atelectasis,tensor(0.4773)
Youden Index,Pneumothorax,tensor(0.6357)
Youden Index,Pleural Effusion,tensor(0.6461)
Youden Index,Pleural Other,tensor(0.7839)
Youden Index,Fracture,tensor(-1.)
Youden Index,Support Devices,tensor(0.4221)
