Metric Type,Task,Value
AUROC,No Finding,0.9140141467727674
AUROC,Enlarged Cardiomediastinum,0.5283208020050125
AUROC,Cardiomegaly,0.7313432835820896
AUROC,Lung Opacity,0.5311986863711001
AUROC,Lung Lesion,0.39698492462311563
AUROC,Edema,0.8515672091621459
AUROC,Consolidation,0.8876488095238095
AUROC,Pneumonia,0.7884114583333333
AUROC,Atelectasis,0.7627733333333333
AUROC,Pneumothorax,0.7534364261168385
AUROC,Pleural Effusion,0.8961397058823529
AUROC,Pleural Other,0.9798994974874372
AUROC,Fracture,nan
AUROC,Support Devices,0.8595859585958595
AUROC,Average (Eval Tasks),0.8258944682967464
Accuracy,Overall,0.7724999785423279
Accuracy (Tuned),Overall,0.7067857384681702
Average Youden Index,Eval Tasks,tensor(0.5074)
Average F1 Score,Eval Tasks,0.6433764418670078
F1 Score,No Finding,0.5806451612903226
F1 Score,Enlarged Cardiomediastinum,0.6887417218543047
F1 Score,Cardiomegaly,0.5777777777777777
F1 Score,Lung Opacity,0.7341772151898733
F1 Score,Lung Lesion,0.01639344262295082
F1 Score,Edema,0.6296296296296297
F1 Score,Consolidation,0.6060606060606061
F1 Score,Pneumonia,0.2105263157894737
F1 Score,Atelectasis,0.6415094339622641
F1 Score,Pneumothorax,0.2222222222222222
F1 Score,Pleural Effusion,0.7619047619047619
F1 Score,Pleural Other,0.25
F1 Score,Fracture,0.0
F1 Score,Support Devices,0.801980198019802
Youden Index,No Finding,tensor(0.5889)
Youden Index,Enlarged Cardiomediastinum,tensor(0.0115)
Youden Index,Cardiomegaly,tensor(0.3252)
Youden Index,Lung Opacity,tensor(0.)
Youden Index,Lung Lesion,tensor(0.3970)
Youden Index,Edema,tensor(0.6070)
Youden Index,Consolidation,tensor(0.5417)
Youden Index,Pneumonia,tensor(0.2031)
Youden Index,Atelectasis,tensor(0.4160)
Youden Index,Pneumothorax,tensor(0.1564)
Youden Index,Pleural Effusion,tensor(0.6471)
Youden Index,Pleural Other,tensor(0.9698)
Youden Index,Fracture,tensor(-1.)
Youden Index,Support Devices,tensor(0.6004)
